,Close,Day,Symbol
2020-10-16 00:00:00,70.1500015258789,2020-10-16 00:00:00,DELL
2020-10-16 00:00:00,167.35000610351562,2020-10-16 00:00:00,BA
2020-10-16 00:00:00,177.6999969482422,2020-10-16 00:00:00,LOW
2020-10-16 00:00:00,33.720001220703125,2020-10-16 00:00:00,UBER
2020-10-16 00:00:00,42.16999816894531,2020-10-16 00:00:00,HDS
2020-10-16 00:00:00,219.66000366210938,2020-10-16 00:00:00,MSFT
2020-10-16 00:00:00,23.229999542236328,2020-10-16 00:00:00,EXEL
2020-10-16 00:00:00,54.27000045776367,2020-10-16 00:00:00,BGSAX
2020-10-16 00:00:00,100.52999877929688,2020-10-16 00:00:00,TWCIX
2020-10-16 00:00:00,160.9199981689453,2020-10-16 00:00:00,TRBCX
2020-10-16 00:00:00,1567.699951171875,2020-10-16 00:00:00,GOOGL
2020-10-16 00:00:00,80.62000274658203,2020-10-16 00:00:00,ATVI
2020-10-16 00:00:00,0.6800000071525574,2020-10-16 00:00:00,BKRRF
2020-10-16 00:00:00,633.9199829101562,2020-10-16 00:00:00,CHTR
2020-10-16 00:00:00,129.02999877929688,2020-10-16 00:00:00,QCOM
2020-10-16 00:00:00,177.5500030517578,2020-10-16 00:00:00,VTI
2020-10-16 00:00:00,53.349998474121094,2020-10-16 00:00:00,VXUS
2020-10-16 00:00:00,14.9399995803833,2020-10-16 00:00:00,AMZA
2020-10-16 00:00:00,27.329999923706055,2020-10-16 00:00:00,T
2020-10-16 00:00:00,58.04999923706055,2020-10-16 00:00:00,VZ
2020-10-16 00:00:00,97.11000061035156,2020-10-16 00:00:00,Z
2020-10-16 00:00:00,35.599998474121094,2020-10-16 00:00:00,TWOU
2020-10-16 00:00:00,46.45000076293945,2020-10-16 00:00:00,EGRX
2020-10-16 00:00:00,221.2899932861328,2020-10-16 00:00:00,TDOC
2020-10-16 00:00:00,1271.3800048828125,2020-10-16 00:00:00,MELI
2020-10-16 00:00:00,326.30999755859375,2020-10-16 00:00:00,ILMN
2020-10-16 00:00:00,47.029998779296875,2020-10-16 00:00:00,NVTA
2020-10-16 00:00:00,145.88999938964844,2020-10-16 00:00:00,PRLB
2020-10-16 00:00:00,6.769999980926514,2020-10-16 00:00:00,DDD
2020-10-16 00:00:00,200.25999450683594,2020-10-16 00:00:00,V
2020-10-16 00:00:00,126.80999755859375,2020-10-16 00:00:00,DIS
2020-10-16 00:00:00,242.52000427246094,2020-10-16 00:00:00,SNOW
2020-10-16 00:00:00,9.40999984741211,2020-10-16 00:00:00,TEVA
2020-10-16 00:00:00,15.880000114440918,2020-10-16 00:00:00,GTBIF
2020-10-16 00:00:00,53.029998779296875,2020-10-16 00:00:00,AZN
2020-10-16 00:00:00,381.5400085449219,2020-10-16 00:00:00,COST
