,Symbol,Close,Day
2020-10-16 00:00:00,NIO,28.479999542236328,2020-10-16 00:00:00
2020-10-16 00:00:00,KO,50.029998779296875,2020-10-16 00:00:00
2020-10-16 00:00:00,ZM,559.0,2020-10-16 00:00:00
2020-10-16 00:00:00,GLDM,18.93000030517578,2020-10-16 00:00:00
2020-10-16 00:00:00,SLV,22.420000076293945,2020-10-16 00:00:00
2020-10-16 00:00:00,DOCU,234.60000610351562,2020-10-16 00:00:00
2020-10-16 00:00:00,BIO,556.5700073242188,2020-10-16 00:00:00
2020-10-16 00:00:00,KTOS,20.790000915527344,2020-10-16 00:00:00
2020-10-16 00:00:00,HD,287.6600036621094,2020-10-16 00:00:00
2020-10-16 00:00:00,STZ,181.47999572753906,2020-10-16 00:00:00
2020-10-16 00:00:00,MDT,110.12999725341797,2020-10-16 00:00:00
2020-10-16 00:00:00,MAA,119.44000244140625,2020-10-16 00:00:00
2020-10-16 00:00:00,HON,174.86000061035156,2020-10-16 00:00:00
2020-10-16 00:00:00,URBN,24.040000915527344,2020-10-16 00:00:00
2020-10-16 00:00:00,SFIX,32.59000015258789,2020-10-16 00:00:00
2020-10-16 00:00:00,ETSY,147.58999633789062,2020-10-16 00:00:00
2020-10-16 00:00:00,SWK,176.3800048828125,2020-10-16 00:00:00
2020-10-16 00:00:00,HELE,193.69000244140625,2020-10-16 00:00:00
2020-10-16 00:00:00,MIK,10.40999984741211,2020-10-16 00:00:00
2020-10-16 00:00:00,SCHW,39.290000915527344,2020-10-16 00:00:00
2020-10-16 00:00:00,BXMT,23.040000915527344,2020-10-16 00:00:00
2020-10-16 00:00:00,VDC,169.4199981689453,2020-10-16 00:00:00
2020-10-16 00:00:00,IHE,169.4199981689453,2020-10-16 00:00:00
2020-10-16 00:00:00,XLC,60.779998779296875,2020-10-16 00:00:00
2020-10-16 00:00:00,IXN,273.1000061035156,2020-10-16 00:00:00
2020-10-16 00:00:00,QID,8.699999809265137,2020-10-16 00:00:00
2020-10-16 00:00:00,UUP,25.290000915527344,2020-10-16 00:00:00
2020-10-16 00:00:00,DUST,18.030000686645508,2020-10-16 00:00:00
2020-10-16 00:00:00,HYLN,27.0,2020-10-16 00:00:00
2020-10-16 00:00:00,HIMX,3.690000057220459,2020-10-16 00:00:00
2020-10-16 00:00:00,AYTU,1.0299999713897705,2020-10-16 00:00:00
2020-10-16 00:00:00,TNXP,0.7400000095367432,2020-10-16 00:00:00
2020-10-16 00:00:00,MMM,170.97000122070312,2020-10-16 00:00:00
2020-10-16 00:00:00,UA,11.300000190734863,2020-10-16 00:00:00
2020-10-16 00:00:00,DOC,17.790000915527344,2020-10-16 00:00:00
2020-10-16 00:00:00,IVV,348.45001220703125,2020-10-16 00:00:00
2020-10-16 00:00:00,CLX,214.99000549316406,2020-10-16 00:00:00
2020-10-16 00:00:00,LMT,386.5,2020-10-16 00:00:00
2020-10-16 00:00:00,DBX,20.31999969482422,2020-10-16 00:00:00
2020-10-16 00:00:00,LVGO,141.9199981689453,2020-10-16 00:00:00
2020-10-16 00:00:00,DG,221.7100067138672,2020-10-16 00:00:00
2020-10-16 00:00:00,BIIB,280.010009765625,2020-10-16 00:00:00
2020-10-16 00:00:00,KL,49.84000015258789,2020-10-16 00:00:00
2020-10-16 00:00:00,CLKA,0.8899999856948853,2020-10-16 00:00:00
2020-10-16 00:00:00,TTWO,168.22000122070312,2020-10-16 00:00:00
2020-10-16 00:00:00,CMCSA,45.560001373291016,2020-10-16 00:00:00
2020-10-16 00:00:00,NVDA,552.4600219726562,2020-10-16 00:00:00
2020-10-16 00:00:00,AMD,83.16999816894531,2020-10-16 00:00:00
2020-10-16 00:00:00,NTES,88.5199966430664,2020-10-16 00:00:00
2020-10-16 00:00:00,FVRR,173.3800048828125,2020-10-16 00:00:00
2020-10-16 00:00:00,X,8.960000038146973,2020-10-16 00:00:00
2020-10-16 00:00:00,NNOX,35.20000076293945,2020-10-16 00:00:00
2020-10-16 00:00:00,MOS,19.139999389648438,2020-10-16 00:00:00
2020-10-16 00:00:00,FTI,6.880000114440918,2020-10-16 00:00:00
2020-10-16 00:00:00,ALB,93.41999816894531,2020-10-16 00:00:00
2020-10-16 00:00:00,PKB,39.5099983215332,2020-10-16 00:00:00
2020-10-16 00:00:00,VOX,104.62000274658203,2020-10-16 00:00:00
2020-10-16 00:00:00,QRTEB,7.679999828338623,2020-10-16 00:00:00
